name,population,country,page,latitude,longitude
AASAER,6700,KAOTOON ISLAND,375,36o20’N,5o45’E
ADRAR,1081,THYBAJ,362,43o40’N,4o55’E
ADRASH,1599,THYBAJ,367,42o50’N,3o40’E
AHVAHN,487,OZHVINMISH,394,32o10’N,9o10’W
AHVAHN,1804,MEZNAMISH,399,31o5’N,16o10’W
AHVAHNI,719,MEZNAMISH,392,33o10’N,15o10’W
AILUAR,449,REANAARIA BAY,372,39o15’N,5o35’E
AKAK,493,SHYNABYTH,356,47o30’N,0o10’E
AKAT,1302,DRHOKKER,362,45o35’N,4o50’E
ALAANO,478,PRIVBOLSIAN ISLANDS,306,37o5’N,24o35’W
ALMVEN,4000,COSDOL,285,50o10’N,14o5’W
ALMVEN,1866,PEL BROLENON,308,36o0’N,18o40’W
ALNARMA (ROSHAY),3800,ELOS DESERT,310,35o35’N,13o55’W
AMNAHNI,344,AHZNOMAHN,410,28o10’N,8o15’W
ANDDEN,445,ELOS DESERT,311,38o25’N,7o30’W
ANDVEN,4900,ELDOR,293,47o5’N,17o35’W
ANFYRR,444,SKARRNA,370,43o10’N,8o55’E
ANMISH,378,OZHVINMISH,394,32o55’N,10o15’W
ANMISH,1044,ZAZAHNI,400,29o45’N,12o45’W
ANOWHAHNI,1180,MEZNAMISH,392,31o30’N,16o0’W
ANOWHIZH,22200,OZHVINMISH,394,32o25’N,9o30’W
ANOWMISH,407,OZHVINMISH,402,29o25’N,7o40’W
ANOWMISH,481,AHZNOMAHN,410,28o0’N,8o35’W
ANSYRR,668,THARGGY,367,42o50’N,2o45’E
APMISH,338,AHZNOMAHN,410,27o45’N,7o10’W
APZHAHNI,532,ZAZAHNI,401,29o40’N,11o10’W
ARDARR-NORR,16100,SKARRNA,370,42o0’N,8o55’E
AROROLETA,24100,DODERA,313,38o50’N,2o10’W
AR'TABAN,500,PEKAL,347,41o45’N,5o25’E
ARUN'KID,153,KALAMAR,322,33o55’N,0o30’W
ARYR,354,KHYDOBAN DESERT,374,39o30’N,11o15’E
ASHAKULAGH,6650,NORGA-KRANGREL,345,42o50’N,10o30’W
ASHON,435,SHYNABYTH,356,46o25’N,0o10’W
ASHOSHANI,88900,OZHVINMISH,393,33o30’N,12o0’W
ASHOSMISH,975,MEZNAMISH,392,32o25’N,15o20’W
ASMISH,927,OZHVINMISH,393,33o15’N,11o45’W
ASMISH,2184,ZAZAHNI,409,28o15’N,10o10’W
ASVAHN,927,ZAZAHNI,401,28o50’N,10o40’W
ASVAHNI,778,OZHVINMISH,394,33o40’N,11o25’W
